address,name,social,index,initial_balance_usd,total_usd_sold
0x9b921fad875b06183d3992a125026c89915d71f6,Grandma0x,https://x.com/Grandma0x,0,1300.0,58134.51
MASKED,MASKED,MASKED,1,1300.0,0.0
0x2c35cb92ec426a5c5b063141fa2c63904802ec19,batuavcu,https://x.com/batuavcu,2,1300.0,24760.87
MASKED,MASKED,MASKED,3,1300.0,0.0
0xf5ffb26afbdb4a16f0812908c7863677174de5fe,JustnThePhotog,https://x.com/JustnThePhotog,4,1300.0,12174.59
0xaccbe4a95776c87b7ec8249bac85e4b524be0c0b,0xChefGoose,https://x.com/0xChefGoose,5,1300.0,6119.35
MASKED,MASKED,MASKED,6,1300.0,0.0
MASKED,MASKED,MASKED,7,1300.0,0.0
0x4a6f86249b40cfedebe9f4f5ba360c19e5453fe6,Kelso_MKK,https://x.com/Kelso_MKK,8,1300.0,77840.75
0x2375be76e23c915173495f82b3521002f3130e84,ata_int,https://x.com/ata_int,9,1300.0,0.0
0x99375e063d30a2e3f52e4a43cb040fb5d93fe75f,Smudge48DEFI,https://x.com/Smudge48DEFI,10,1300.0,22664.43
0x4b4c2c5ab96c83110b46ec51714997709ef81b86,avax_m4x1,https://x.com/avax_m4x1,11,1300.0,4393.76
0xfa81b195fa180baf79049dc76189b551a5cc3c6e,mrmocket,https://x.com/mrmocket,12,1300.0,62466.94
0xf6df03319f01dc4198d5bf7e2841867f6e2d2168,0xLamps,https://x.com/0xLamps,13,1300.0,9436.03
0x29e22c303112efb9d89d59eebb006d6660be90ff,pecio222,https://x.com/pecio222,14,1300.0,29820.91
0xb5d5e19cf86669eca222f9cf6003abf510df0390,SmolMobster,https://x.com/SmolMobster,15,1300.0,95499.69
0xd6b675c081d7e81188782a884a13ababd1122497,coffeeweed_eth,https://x.com/coffeeweed_eth,16,1300.0,21168.62
0x88973ef8b5cbf907ccb1c97cc97eb1efe35763a9,cryptostpn,https://x.com/cryptostpn,17,1300.0,47093.94
0x021a18636c54ee5314fa9881b4e2f9a801d9d189,0xKeyamo,https://x.com/0xKeyamo,18,1300.0,39275.12
0xb430c1fa124923ac106d3e7382c08023a39bbd9a,0x_LEWO,https://x.com/0x_LEWO,19,1300.0,50813.11
0xcd74e0be8ea95fbbf64380fbbff23382930b4c64,SirChadrickson,https://x.com/SirChadrickson,20,1300.0,61793.5
0x6bc627f56aa6a677c729856653338fb0e1798af9,ThaedisFidelis,https://x.com/ThaedisFidelis,21,1300.0,33284.87
0xe04dfed21e0e2075e15e5f34fcccfc324bb89604,onchain_demon_,https://x.com/onchain_demon_,22,1300.0,41529.09
0xd1b1dfdc1a228569feedb805f8ece5cd15fc8b3e,MozartXBT,https://x.com/MozartXBT,23,1300.0,121147.28
0xe42d8869f72b79ae3dd66fcc098f46c45290225e,MasterChiefNFTs,https://x.com/MasterChiefNFTs,24,1300.0,23924.99
0x32ecbcbabae00325b7f286427716eca0bedda547,geeeeeee6793,https://x.com/geeeeeee6793,25,1300.0,11639.99
0xb2b482a23de1d2972935003427ef506157dc944b,_Khezu,https://x.com/_Khezu,26,1300.0,0.0
0x9c48b529d2a5b8a157cf06854d202a20f37d5273,KenobiDesigns,https://x.com/KenobiDesigns,27,1300.0,2759.57
0xee331552f05fc9aae1ede555c3e146013e8383e9,camilom4ke,https://x.com/camilom4ke,28,1300.0,24468.12
0x84b024dcd2e4097fa803c8d29352bb166dfd1ba4,Platypuscapital,https://x.com/Platypuscapital,29,1300.0,46818.22
0xb9e7411d363db829b3bd0c3dbac2a27ac58ec1cd,Wadeweaver99,https://x.com/Wadeweaver99,30,1300.0,51126.31
0x95a4644806548441e1e860045a90435ea292b81f,Jeremy_Kronk,https://x.com/Jeremy_Kronk,31,1300.0,59820.82
0x52903156b96e0b225d500a78b50cced5679311d5,himishacat,https://x.com/himishacat,32,1300.0,34296.7
0xe0edbf3ce9c0f41a7588c229e238a7d3f4a544ce,ponzinomicsphd,https://x.com/ponzinomicsphd,33,1300.0,54788.48
MASKED,MASKED,MASKED,34,1300.0,0.0
MASKED,MASKED,MASKED,35,1300.0,1774.05
MASKED,MASKED,MASKED,36,1300.0,33395.99
MASKED,MASKED,MASKED,37,1300.0,29305.82
0x6cd8492dc69b4be5f8e9093083a52a9d265ff531,BananaBrowski,https://x.com/BananaBrowski,38,1300.0,43007.29
0xb0920227b49a43ec7259bf070a1fc3e52c56084d,HoneyBear9000,https://x.com/HoneyBear9000,39,1300.0,5343.46
0xb422fd82d9aed3557a876c44eabd8fa45327af1a,ArielBugay,https://x.com/ArielBugay,40,1300.0,99636.77
0xfa80c1a8f2968d6526607d780b06acb68d61beb8,tictacConDore,https://x.com/tictacConDore,41,1300.0,36745.46
0x850fd4ee708d2c74c90ee162e93883342a927136,Mr_Burns_Sol,https://x.com/Mr_Burns_Sol,42,1300.0,0.0
0x1f81d63636751cba5ea65228b6a6dcbff8762efb,ji__la,https://x.com/ji__la,43,1300.0,0.0
0x47d65ffc85f4812dd5ec75fff2eccb8e4623dea7,ghost93_x,https://x.com/ghost93_x,44,1300.0,29836.57
0x1889fdc2ef1e9e26efc3ea43ade8feba1ee2be9e,CrypSaf,https://x.com/CrypSaf,45,1300.0,11652.82
MASKED,MASKED,MASKED,46,1300.0,9173.72
MASKED,MASKED,MASKED,47,1300.0,0.0
MASKED,MASKED,MASKED,48,1300.0,2257.71
0x57897b44a9e41349072f8639a3996c3dbbef5c41,Chilearmy123,https://x.com/Chilearmy123,49,1300.0,74655.78
MASKED,MASKED,MASKED,50,1300.0,0.0
0x5e19d5b62bdfb1e33256289c99f7d2e7a09fc426,MediaGiraffes,https://x.com/MediaGiraffes,51,1300.0,27655.99
MASKED,MASKED,MASKED,52,1300.0,0.0
0x82250a97b5d747aed98183bebe7d372d1cc50ec9,onyilmaz,https://x.com/onyilmaz,53,1300.0,22529.24
0x249d692406f9c1e5aa2887712d6fef0db169f00b,StableJack_xyz,https://x.com/StableJack_xyz,54,1300.0,3311.59
0xe0de476b1a59cf863dea82db6d4f18f5b6097aac,FireStorlvl,https://x.com/FireStorlvl,55,1300.0,19677.04
0x91c1c72c21bed9d80cc28d926cac60d09dcbaf92,kspaze1,https://x.com/kspaze1,56,1300.0,9198.25
0x41f7e684eac58845b4fb6bed92aeb27b4fe81a1f,BIGcryptomeme,https://x.com/BIGcryptomeme,57,1300.0,8425.5
MASKED,MASKED,MASKED,58,1300.0,0.0
0x28ffb04768b630ec6d4085c58fc033f0048702ec,Mani_NFTz,https://x.com/Mani_NFTz,59,1300.0,78885.78
MASKED,MASKED,MASKED,60,1300.0,0.0
MASKED,MASKED,MASKED,61,1300.0,870.97
MASKED,MASKED,MASKED,62,1300.0,0.0
0x15f7347d81a992ac5616c86a3c5f255e711db15f,Astroserge,https://x.com/Astroserge,63,1300.0,47257.97
MASKED,MASKED,MASKED,64,1300.0,1562.35
0xfc28305ec484d52972d3a48ec5353a7287f8a1cb,jasonmdesimone,https://x.com/jasonmdesimone,65,1300.0,1379.67
MASKED,MASKED,MASKED,66,1300.0,0.0
0x8d2a4252746090551b44839680305b0b3b6959e6,Omni_021,https://x.com/Omni_021,67,1300.0,61841.74
0x88365805c24211f4f58c56e404d7e4a10faa030c,Colonylab,https://x.com/Colonylab,68,1300.0,0.0
MASKED,MASKED,MASKED,69,1300.0,0.0
MASKED,MASKED,MASKED,70,1300.0,0.0
0x9f8d6acc821f0de7f6bdcc473f1bd0d65da8556b,Jaybies911,https://x.com/Jaybies911,71,1300.0,9355.53
0x4ef648ad96db020111a3a0e7bce4ff6e1af3da68,nftboi_,https://x.com/nftboi_,72,1300.0,4546.8
0xbe86f51f91063009a554145ff8f9f533e1ba6ac4,PublicSorrow,https://x.com/PublicSorrow,73,1300.0,12781.07
0x6ec4aeee4c1ca47da8293e4ca34c315c06a5c953,otivnod,https://x.com/otivnod,74,1300.0,42859.53
0x5416d6d984d8ad158e4f53f5e4eab7a8beeccdf5,0xLevi_,https://x.com/0xLevi_,75,1300.0,8450.05
MASKED,MASKED,MASKED,76,1300.0,0.0
0xae598bc8252ae7b2c16659ada2fc799b67198169,AlienOG____,https://x.com/AlienOG____,77,1300.0,0.0
0x895b575fa2905e23c3c08d5352c7619672bb1cec,0xWyatt_Earp,https://x.com/0xWyatt_Earp,78,1300.0,3406.2
0x9bc27a47b4413c51f884ae4e4b9170f3a0d7f742,chooserich,https://x.com/chooserich,79,1300.0,73642.99
0xac4ca147b9c6b45e1998b72ada899e4ad2009728,Duckyotg,https://x.com/Duckyotg,80,1300.0,14303.43
MASKED,MASKED,MASKED,81,1300.0,678.38
MASKED,MASKED,MASKED,82,1300.0,25871.56
0xd48a6ec6bff4b083ec4004f56cdf8787e2ac49a3,Jonathanratcher,https://x.com/Jonathanratcher,83,1300.0,67921.02
0x1142184c427c843172c14025df52501536cafe26,maislethevert,https://x.com/maislethevert,84,1300.0,3936.08
0x5bd8eff5967b1f1812fda2d5e5802d28d1cd793c,LINKxAVAX,https://x.com/LINKxAVAX,85,1300.0,3680.76
MASKED,MASKED,MASKED,86,1300.0,93820.87
0x40c9abc17dfd2e0815bd86b57a872ad1698b71cf,hankjcase,https://x.com/hankjcase,87,1300.0,0.0
MASKED,MASKED,MASKED,88,1300.0,0.0
MASKED,MASKED,MASKED,89,1300.0,0.0
MASKED,MASKED,MASKED,90,1300.0,0.0
0xc4891831df9637609e2881fd9f8937aa1a795ae0,jayxonez,https://x.com/jayxonez,91,1300.0,66127.42
MASKED,MASKED,MASKED,92,1300.0,1437.66
MASKED,MASKED,MASKED,93,1300.0,7033.87
0x0f23f1741d3c7baf32d3968c636e48e7f24da6fa,RebaseMan,https://x.com/RebaseMan,94,1300.0,1292.93
MASKED,MASKED,MASKED,95,1300.0,0.0
0xf79b6766c1a06aacef0d86251d805fd67b9e691f,TheAtriumDAO,https://x.com/TheAtriumDAO,96,1300.0,0.0
MASKED,MASKED,MASKED,97,1300.0,0.0
0xa6f2e0d7bb5bcccaf1fac95eb2dba504edc72017,0xNeothon,https://x.com/0xNeothon,98,1300.0,5087.23
0x51f6749dee3510f983c15b7c239cc6df4e4054ea,Stucolley,https://x.com/Stucolley,99,1300.0,18911.61
MASKED,MASKED,MASKED,100,1300.0,14103.82
0xc4789f786e3cd88ce22c19ba790f8ad548f2001e,Mtgs87_,https://x.com/Mtgs87_,101,1300.0,16021.48
MASKED,MASKED,MASKED,102,1300.0,72151.48
0x26737fb3fb631a057a085b51af5087e578b02584,valcastx,https://x.com/valcastx,103,1300.0,175793.08
