username,wallet_address,name,uuid,bio,is_verified,avatar_url,twitter,total_collections,total_nft_items
vasicovska,0x095678e1bd8b19303c72bcebec8f3a80f33808a0,Vasicovska,5bc56d3f-e64f-42f4-aeb1-c5bed0cc4a72,Touch my art and enjoy,True,https://rcdn.salvor.io/images/avatar/200x200/ba20a242-f82d-4e4f-9391-772508307a3e.jpg,https://x.com/_vasicovska_,2,6
annav,0xb34dd44bcdd50cb242c2171f39d6d50dc8003dfd,AnnaV,c43978a4-85be-4553-a799-ade6a5c33baa,,True,https://rcdn.salvor.io/images/avatar/200x200/b29831db-77c8-45aa-a784-659f293324d2.jpeg,N/A,1,3
framesbyvik,0xd5df3f5022572f461459fc62dbbfaa54191fc551,📷 Vik,3007a939-ce4c-4eba-b9d8-4dee820b4c57,"Nepalese Photographer in Prague 🌍 
Capturing life's essence & moments 📷",True,https://rcdn.salvor.io/images/avatar/200x200/e68e2908-c58e-4dcb-b043-c0260be458ad.png,https://x.com/FramesbyVik,2,7
firelorrd,0x0b51d75d1f228ea465d002595178266aa31e082c,FireLørrd | Ian,f9ad04f2-8489-4750-a904-2785b2c5186c,I'm on a journey to explore the depths of my creativity while expressing myself through art,True,https://rcdn.salvor.io/images/avatar/200x200/bdce5150-69b0-4e92-820c-81f3dbb8dbc0.jpg,https://x.com/firelorrdArt,21,22
desolalasisi,0x4e88926cc403b66a777efc32fb5b9d16996190b6,Desola Lasisi,d883a41a-6e3b-4469-9564-625d262edd99,"Digital artist; I explore diverse themes and subjects mostly rooted in my culture and identity as an African, Nigerian and a Yoruba girl.",True,https://rcdn.salvor.io/images/avatar/200x200/738af8c8-cdb8-456c-99c8-c41ac9681698.jpeg,https://x.com/desolalasisi,12,22
taufantwork,0xb2fc4eaf7435a5d1ccf496502b5dfda0b590595c,taufantwork,e7e44186-5940-4477-a4d1-249d78c9b48c,looking back at the past with various feelings that have been immortalized in an illustrated work,True,https://rcdn.salvor.io/images/avatar/200x200/a3eae34f-353e-4408-87c9-bec7325dda8b.jpg,https://x.com/taufik_andr,0,0
bookiedew,0x236446b98087bc8ac9cfae6c176189b4a3139acd,BookieDew,3e0d98ef-20d1-4027-bb14-da922f073386,"Hobbyist is the right word to describe my art journey! Play with different mediums on different chains!
Visit Linktree to see body of work: https://linktr.ee/bookiedew",True,https://rcdn.salvor.io/images/avatar/200x200/338dcdd6-324c-4e2f-98e2-b22e8234ce6b.gif,https://x.com/BookieDew,0,0
alvinvalendra,0x0076bbd0d20714c86c43cc3727dc18a08b7267d5,Apin,58cf759f-106d-4051-bf6b-3083670a1a5a,Visual artist based in Indonesia,True,https://rcdn.salvor.io/images/avatar/200x200/07c760ea-dfad-402e-b5b6-26035f66cd2e.png,https://x.com/alvinvalendra,4,5
randomdesign,0xfb3a99b276149086756bfe70f35d3af07d7cf12d,Damla Acıl Karakurt,42468268-1fe4-4755-8643-a7d89c66843b,"Artist, illustrator on various materials, colorful paintings, murals & digital",True,https://rcdn.salvor.io/images/avatar/200x200/9eef2332-63d8-4c22-90d4-608463a5eafb.webp,https://twitter.com/randomdesignart,63,129
nataliial_art,0xf1d26ca715b7d7732c11bee15ec3f8976369225f,NataliiaL_Art,921931d9-58e2-45b9-8c7e-a7b1b3e8595a,Digital and traditional artist,True,https://rcdn.salvor.io/images/avatar/200x200/74a785ce-40ca-4b03-9691-3b30189f5613.jpg,https://x.com/NataliiaL_Art,2,3
hoizon,0xadee5ee18e77ccee0717b707d28d589292b65c9c,Hoizon,4eefa024-bc99-4c47-b366-4d35136a5892,Painter • Collector,True,https://rcdn.salvor.io/images/avatar/200x200/40a70563-dce6-4540-8e9e-2532e162ce16.JPG,https://twitter.com/HoizonArt,13,15
doodlepunk,0x2eef99ddd85deb1a9a737a12d43eb5eb37d4fa00,doodlepunk,c41bb650-1353-4d60-8544-2479a629e0f4,"ben. i draw, make music, animation. please enjoy :)",True,https://rcdn.salvor.io/images/avatar/200x200/6fbbd2f6-ef9b-4348-a932-815150ed9934.png,https://x.com/doodlepunk_art,1,2
yani_yuhana,0xb41d1ba478cc6d6885c362b2477d99caeaa5007b,Yani Yuhana,66d68bca-79d5-4d9e-978b-d2d9facf7e62,Doodle artist who loves to create colorful artworks with dark background. Creator of the great Meredith.,True,https://rcdn.salvor.io/images/avatar/200x200/44c21e70-e632-4c42-9254-2282fca79185.jpeg,N/A,2,2
nickruffaalo,0x6b5f77cf3942556dbf47e052d191c7a400ac1fc6,nick ruffalo,89e7a95e-5a2f-4743-a013-8114097a4f24,,True,https://rcdn.salvor.io/images/avatar/200x200/455bf6c3-dc9b-4791-ac19-d020e788dfad.jpeg,N/A,1,4
ihy_ihuayoong,0xd41e1b83651f879c1cf1eecb4c808583521a02f5,I HUA YOONG,cd87e362-3521-47a0-917f-df6d8bd73119,,True,https://rcdn.salvor.io/images/avatar/200x200/6e29bc66-ab9b-4664-aea0-01949aea8591.jpeg,https://x.com/i_huayoong,1,1
minalisa1991,0x0a6a8853b787492a5f37e435e9922ed44bf48437,Minalisa1991,10e50608-25e8-4cda-b948-dfae7f386ab1,"I am a self-taught photographer, who has been photographing for many years. Most of my works are portraits. The most important thing for me in photography is to convey their feelings",True,https://rcdn.salvor.io/images/avatar/200x200/9ed4a38b-afcb-4a47-9a98-d06cc9f6da2e.jpg,https://x.com/Minalisa1991,1,1
soritoea,0x6b5a93d2bc2a42394d8f689830a5bdd0b8590276,Soritoea,919cf642-9fc6-4578-a658-6d27d13739ed,Only drawing.,True,https://rcdn.salvor.io/images/avatar/200x200/447c189a-c0e2-43d8-8d20-3409893e99e4.jpg,https://x.com/Soritoea,0,0
febrianddwi,0xab3d60e537afeb081362daaf5ff4be026724a131,febrianddwi,4f4d2542-c75b-46f6-84a6-1332bd77a045,"Every piece of art, made by love",True,https://rcdn.salvor.io/images/avatar/200x200/1a655c75-11b3-4bc7-b1aa-7dcdcff4eaa6.png,https://twitter.com/febrianddwi,1,1
